source_id,ra,dec,parallax,parallax_err,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4689624865819376896,6.008655,-72.157928,0.108,0.080,17.020,17.055,16.246
4689624865837224320,6.016072,-72.158310,-0.295,0.174,18.236,18.168,17.287
4689624870101642752,6.010974,-72.158203,0.496,0.327,17.784,17.322,16.597
4689624865819321088,5.993331,-72.164162,0.290,0.081,17.244,17.406,16.594
4689624865837222272,6.010897,-72.163940,0.411,0.191,18.514,18.146,17.473
4689624870101663232,6.013179,-72.161293,-0.456,0.161,17.044,16.927,16.112
4689624870111621760,6.016263,-72.159187,0.187,0.057,16.554,16.850,15.849
4689624870111622912,6.011374,-72.159325,-0.059,0.106,17.619,17.507,16.760
4689624870111631360,6.010087,-72.161217,1.037,0.559,19.223,18.215,17.450
4689624865837103744,6.007917,-72.159119,2.985,0.302,17.642,17.445,16.675
4689624865837103104,6.005889,-72.162140,0.410,0.148,17.261,17.208,16.469
4689624870111630208,6.004158,-72.160072,0.267,0.156,17.704,17.484,16.736
4689624865837099776,5.995882,-72.162186,0.408,0.116,17.858,17.973,17.228
4689624870111627648,6.006268,-72.159569,1.187,0.106,16.957,17.098,16.160
4689624865837102080,6.002224,-72.160507,0.199,0.078,17.139,17.262,16.470
4689624865837207808,5.986708,-72.162682,0.410,0.170,18.180,18.156,17.364
4689624870111636352,6.013588,-72.163017,-0.304,0.463,19.226,18.779,17.916
4689624865837105152,6.013916,-72.159996,0.233,0.168,17.974,17.614,16.928
4689624870111634688,5.999038,-72.160767,0.256,0.169,18.311,18.142,17.304
4689624865837213952,5.996819,-72.161263,0.437,0.163,18.346,18.274,17.640
4689624865819319680,5.990333,-72.163338,0.111,0.100,17.214,16.940,16.188
4689624865837215232,5.999490,-72.162285,0.184,0.232,18.378,18.100,17.360
4689624865837113984,5.992073,-72.162842,0.291,0.413,17.464,17.016,16.256
4689624870112299264,6.013616,-72.163986,0.502,0.290,18.879,18.727,17.661
4689624865840645760,6.015637,-72.156563,-0.474,0.311,18.447,18.347,17.490
4689624865837218048,6.004078,-72.163467,1.297,0.453,18.938,18.648,17.725
4689624865819394816,6.014508,-72.162178,0.372,0.086,17.271,17.291,16.526
4689627167929788288,6.034141,-72.135391,-0.058,0.051,15.854,16.189,15.138
4689625660376226816,5.936599,-72.157928,-0.017,0.119,17.830,17.690,16.976
4689626828608069888,6.251539,-72.122597,0.345,0.181,18.178,17.427,16.589
4689626343288209408,6.036496,-72.160576,0.610,0.127,17.898,17.903,17.100
4689626308934817408,6.084227,-72.159348,-0.057,0.099,17.054,17.109,16.251
4689626274574943104,6.045825,-72.163300,-0.764,0.269,18.413,18.119,17.467
4689626381940026752,6.116666,-72.146858,0.159,0.024,13.953,14.478,13.265
4689625862271344256,5.911376,-72.145218,-1.446,0.319,16.964,16.601,15.805
4689626240209433856,6.183998,-72.145035,0.420,0.167,18.124,17.707,16.744
4689627099211180544,6.056914,-72.135826,-0.545,0.069,15.619,15.880,14.828
4689625694745259648,6.005336,-72.133926,0.403,0.162,17.442,17.107,16.368
4689626515094640640,6.197695,-72.123329,1.062,0.258,18.155,17.769,16.776
4689627103494600448,6.016878,-72.153938,0.558,0.140,17.053,17.053,16.230
4689626278850925824,6.047238,-72.163818,0.265,0.058,16.665,16.921,15.930
4689625862251613568,5.950474,-72.139435,0.437,0.197,17.319,16.951,16.118
4689625832184603904,5.876842,-72.146416,-1.995,0.692,15.947,16.061,15.104
4689627103494596736,6.017045,-72.153191,-1.257,0.505,18.629,17.900,17.217
4689626446353001344,6.234370,-72.130699,0.148,0.020,13.632,14.094,13.005
4689626446358969600,6.208969,-72.127892,0.175,0.020,13.471,14.031,12.755
4689626343306387328,6.019582,-72.161583,0.689,0.131,17.310,17.329,16.554
4689626377655943552,6.102177,-72.141068,0.923,1.022,19.273,18.760,17.951
4689625965351048192,5.955646,-72.129051,-0.029,0.260,17.830,17.469,16.763
4689625935263805568,5.913491,-72.140335,0.268,0.160,17.934,17.941,16.993
4689625690472724096,5.960239,-72.154625,0.138,0.112,17.610,17.527,16.777
4689625935263805952,5.897444,-72.138695,0.217,0.068,16.982,17.061,16.174
4689625965322544128,5.965216,-72.129738,2.020,0.483,16.303,16.083,15.177
4689625930990820736,5.910266,-72.134209,0.570,0.124,17.677,17.283,16.526
4689627099193944448,6.058630,-72.139603,-2.109,0.250,17.251,16.796,16.027
4689625896631181056,5.977244,-72.134315,0.387,0.152,17.475,17.416,16.623
4689627099209888256,6.046414,-72.138603,-0.786,0.452,17.533,16.877,16.137
4689626381940026880,6.097406,-72.144623,0.185,0.081,16.770,17.009,16.036
4689626480734774144,6.129510,-72.135323,0.631,0.556,18.288,18.025,17.280
